TicketID,CustomerID,JourneyID,Price,TicketClass,Purchase_Date,
T13309,C35000,J10179,5953,Economy,10/23/2020,
T3539,C34999,J24315,5953,Economy,8/20/2019,
T8324,C1002,J24571,5956,Economy,3/14/2019,
T14649,C34995,J22741,5955,Economy,2/10/2021,
T12742,C34992,J3406,5955,Economy,6/25/2019,
T31197,C34991,J8598,5955,Economy,3/5/2019,
T6878,C1006,J25538,6060,Economy,11/19/2020,
T3815,C1007,J29328,6060,Economy,10/6/2020,
T10421,C34989,J6716,5954,Economy,2/26/2019,
T25922,C1009,J26314,5954,Economy,7/22/2020,
T1312,C34986,J2064,5954,Economy,1/31/2020,
T10474,C1011,J13917,5954,Economy,12/11/2019,
T22523,C1012,J14400,5955,Economy,12/6/2019,
T29795,C1013,J20646,5955,Economy,9/22/2019,
T8419,C34984,J30067,5955,Economy,5/31/2019,
T33803,C34983,J30677,5955,Economy,10/18/2020,
T5963,C34981,J11736,5955,Economy,2/28/2019,
T8923,C34979,J14358,5955,Economy,12/23/2019,
T21424,C1018,J8498,5949,Economy,5/21/2020,
T7093,C1019,J8612,5949,Economy,6/29/2020,
T15107,C1020,J1861,5954,Economy,2/12/2020,
T17328,C34978,J12931,5954,Economy,8/1/2020,
T22297,C34976,J18546,5954,Economy,8/14/2020,
T18298,C34975,J6034,5955,Economy,6/9/2019,
T4858,C34974,J5681,6165,Economy,5/6/2020,
T16137,C34973,J7926,6690,Economy,3/30/2020,
T10937,C1026,J17849,6585,Economy,9/16/2020,
T5198,C34972,J7299,8869,Economy,3/4/2020,
T25937,C1028,J15704,10260,Economy,8/3/2019,
T11895,C34968,J28523,10470,Economy,9/19/2020,
T5657,C1030,J11325,10575,Economy,6/2/2019,
T25770,C34967,J22368,10838,Economy,5/17/2019,
T33418,C34957,J32128,12150,Economy,10/28/2019,
T15847,C34956,J32980,12150,Economy,6/28/2019,
T23148,C1034,J21389,12150,Economy,4/14/2019,
T20398,C34954,J32794,12150,Economy,2/24/2019,
T19334,C1036,J4866,12150,Economy,2/1/2020,
T9730,C34953,J25260,11900,Economy,1/9/2021,
